"","Year","Micro_ID","Field.ID","Date","Sample","Depth","Management","Plant","Block","richness","shannon","simp.even","J"
"PWESmicro_1",2011,"micro-1",1,"Jun-11","1-OA1","0-10cm","Organic","Annual",1,6195,7.16080057697479,0.0553884472713363,0.820126528321896
"PWESmicro_2",2011,"micro-2",16,"Jun-11","1-LA1","0-10cm","LowN","Annual",1,4971,7.02309919039752,0.0700113064827185,0.825162106539744
"PWESmicro_3",2011,"micro-3",31,"Jun-11","1-HA1","0-10cm","HighN","Annual",1,5413,7.10570067274015,0.0615501917596574,0.826592779885146
"PWESmicro_4",2011,"micro-4",46,"Jun-11","1-OA2","0-10cm","Organic","Annual",2,5836,7.18510347708565,0.0650504532938777,0.828575925670163
"PWESmicro_5",2011,"micro-5",61,"Jun-11","1-LA2","0-10cm","LowN","Annual",2,5711,7.21902049574606,0.0669937848273898,0.834571322776577
"PWESmicro_6",2011,"micro-6",76,"Jun-11","1-HA2","0-10cm","HighN","Annual",2,6034,7.21974380781493,0.0640954873356057,0.829378986158461
"PWESmicro_7",2011,"micro-7",91,"Jun-11","1-OA3","0-10cm","Organic","Annual",3,5985,7.24234528554862,0.0615214603436227,0.832755520600763
"PWESmicro_8",2011,"micro-8",106,"Jun-11","1-LA3","0-10cm","LowN","Annual",3,5883,7.15435611509056,0.0640540823204731,0.824267610833798
"PWESmicro_9",2011,"micro-9",121,"Jun-11","1-HA3","0-10cm","HighN","Annual",3,5878,7.2529579950636,0.0692710760850156,0.835709610640988
"PWESmicro_10",2011,"micro-10",136,"Jun-11","1-OA4","0-10cm","Organic","Annual",4,6216,7.31658856869738,0.0616490618880925,0.837644220736189
"PWESmicro_11",2011,"micro-11",151,"Jun-11","1-LA4","0-10cm","LowN","Annual",4,5820,7.28533248356265,0.0726165998498229,0.840400302019184
"PWESmicro_12",2011,"micro-12",166,"Jun-11","1-HA4","0-10cm","HighN","Annual",4,5064,7.19886790277703,0.0784023960909094,0.843975249867241
"PWESmicro_13",2011,"micro-13",11,"Jun-11","1-OI1","0-10cm","Organic","IntWheatgrass",1,5902,7.2891705984743,0.0716053488221367,0.839487937995793
"PWESmicro_14",2011,"micro-14",26,"Jun-11","1-LI1","0-10cm","LowN","IntWheatgrass",1,5732,7.25814177687813,0.0711864891107217,0.838738070842011
"PWESmicro_15",2011,"micro-15",41,"Jun-11","1-HI1","0-10cm","HighN","IntWheatgrass",1,5844,7.24952321469456,0.0689675414937527,0.835872652308721
"PWESmicro_16",2011,"micro-16",56,"Jun-11","1-OI2","0-10cm","Organic","IntWheatgrass",2,6008,7.25726116071757,0.0669696736264151,0.834102684822
"PWESmicro_17",2011,"micro-17",71,"Jun-11","1-LI2","0-10cm","LowN","IntWheatgrass",2,5749,7.21763994953638,0.0692152913396278,0.833772371025825
"PWESmicro_18",2011,"micro-18",86,"Jun-11","1-HI2","0-10cm","HighN","IntWheatgrass",2,6221,7.31773203283794,0.0688374753434429,0.837698006387662
"PWESmicro_19",2011,"micro-19",101,"Jun-11","1-OI3","0-10cm","Organic","IntWheatgrass",3,6110,7.29715462042563,0.0714108123258319,0.837067879698382
"PWESmicro_20",2011,"micro-20",116,"Jun-11","1-LI3","0-10cm","LowN","IntWheatgrass",3,5932,7.27793259670773,0.070735854072671,0.837704427215716
"PWESmicro_21",2011,"micro-21",131,"Jun-11","1-HI3","0-10cm","HighN","IntWheatgrass",3,6156,7.2804845435091,0.0704396766232091,0.834437572783137
"PWESmicro_22",2011,"micro-22",146,"Jun-11","1-OI4","0-10cm","Organic","IntWheatgrass",4,5586,7.14100448008941,0.064519305999996,0.827670044746945
"PWESmicro_23",2011,"micro-23",161,"Jun-11","1-LI4","0-10cm","LowN","IntWheatgrass",4,5818,7.18546158696687,0.0557460889097238,0.828912554300949
"PWESmicro_24",2011,"micro-24",176,"Jun-11","1-HI4","0-10cm","HighN","IntWheatgrass",4,5838,7.26931294416153,0.0730679856633212,0.838253714220773
"PWESmicro_25",2012,"micro-25",1,"Jun-12","1-OA1","0-10cm","Organic","Annual",1,6195,7.31924860665296,0.0677176698485242,0.8382735820071
"PWESmicro_26",2012,"micro-26",16,"Jun-12","1-LA1","0-10cm","LowN","Annual",1,5660,7.13838811115474,0.0593619410468289,0.826106476654468
"PWESmicro_27",2012,"micro-27",31,"Jun-12","1-HA1","0-10cm","HighN","Annual",1,5785,7.30058879064795,0.0724544148412226,0.842746688090582
"PWESmicro_28",2012,"micro-28",46,"Jun-12","1-OA2","0-10cm","Organic","Annual",2,6217,7.3419940116008,0.0716733010527158,0.840537296593006
"PWESmicro_29",2012,"micro-29",61,"Jun-12","1-LA2","0-10cm","LowN","Annual",2,6182,7.32476265577401,0.0716742630776112,0.839107019386287
"PWESmicro_30",2012,"micro-30",76,"Jun-12","1-HA2","0-10cm","HighN","Annual",2,6256,7.28905236947281,0.0538570349302196,0.833879259723727
"PWESmicro_31",2012,"micro-31",91,"Jun-12","1-OA3","0-10cm","Organic","Annual",3,6200,7.3327016617028,0.0618920660439151,0.839736756132333
"PWESmicro_32",2012,"micro-32",106,"Jun-12","1-LA3","0-10cm","LowN","Annual",3,5835,7.23635088139097,0.0666086359772397,0.834502197422711
"PWESmicro_33",2012,"micro-33",121,"Jun-12","1-HA3","0-10cm","HighN","Annual",3,5998,7.18010480647309,0.0616606110139947,0.825392888448534
"PWESmicro_34",2012,"micro-34",136,"Jun-12","1-OA4","0-10cm","Organic","Annual",4,6535,7.36476163845774,0.0648008816579581,0.838355220295531
"PWESmicro_35",2012,"micro-35",151,"Jun-12","1-LA4","0-10cm","LowN","Annual",4,7770,7.3315957557484,0.0492193419317504,0.818450577482458
"PWESmicro_36",2012,"micro-36",166,"Jun-12","1-HA4","0-10cm","HighN","Annual",4,6025,7.1868808340293,0.0658975418215341,0.82574541783908
"PWESmicro_37",2012,"micro-37",11,"Jun-12","1-OI1","0-10cm","Organic","IntWheatgrass",1,6370,7.32758240013277,0.0690865636699484,0.836558622029295
"PWESmicro_38",2012,"micro-38",26,"Jun-12","1-LI1","0-10cm","LowN","IntWheatgrass",1,5265,7.28138420323907,0.0830778483939879,0.849770640693194
"PWESmicro_39",2012,"micro-39",41,"Jun-12","1-HI1","0-10cm","HighN","IntWheatgrass",1,7239,7.3530912508504,0.0573544982073262,0.827389258808909
"PWESmicro_40",2012,"micro-40",56,"Jun-12","1-OI2","0-10cm","Organic","IntWheatgrass",2,7782,7.4782406347904,0.0596464016865001,0.834677224794922
"PWESmicro_41",2012,"micro-41",71,"Jun-12","1-LI2","0-10cm","LowN","IntWheatgrass",2,7220,7.42767789915285,0.0627570265517171,0.836029213080613
