"","Year","Micro_ID","Field.ID","Date","Sample","Depth","Management","Plant","Block","richness","shannon","simp.even","J"
"PWESmicro_1",2011,"micro-1",1,"Jun-11","1-OA1","0-10cm","Organic","Annual",1,7296,7.15031913630481,0.0559813994649614,0.819824753763544
"PWESmicro_2",2011,"micro-2",16,"Jun-11","1-LA1","0-10cm","LowN","Annual",1,5516,7.01806844609915,0.0686565542022846,0.82394971845687
"PWESmicro_3",2011,"micro-3",31,"Jun-11","1-HA1","0-10cm","HighN","Annual",1,6031,7.09961675332872,0.0614646926756198,0.826598380406209
"PWESmicro_4",2011,"micro-4",46,"Jun-11","1-OA2","0-10cm","Organic","Annual",2,6560,7.18502870920962,0.0644240693933049,0.828338388802122
"PWESmicro_5",2011,"micro-5",61,"Jun-11","1-LA2","0-10cm","LowN","Annual",2,6399,7.22196587213619,0.0672521698065747,0.835030247167756
"PWESmicro_6",2011,"micro-6",76,"Jun-11","1-HA2","0-10cm","HighN","Annual",2,6720,7.22891648134997,0.0651249635089075,0.830590997924778
"PWESmicro_7",2011,"micro-7",91,"Jun-11","1-OA3","0-10cm","Organic","Annual",3,6703,7.23863933113371,0.0620641352315378,0.832923412307298
"PWESmicro_8",2011,"micro-8",106,"Jun-11","1-LA3","0-10cm","LowN","Annual",3,6749,7.15134817751553,0.0634252894300772,0.823663278505219
"PWESmicro_9",2011,"micro-9",121,"Jun-11","1-HA3","0-10cm","HighN","Annual",3,6336,7.25297256379034,0.069290964888286,0.835596679755496
"PWESmicro_10",2011,"micro-10",136,"Jun-11","1-OA4","0-10cm","Organic","Annual",4,6586,7.32116039106361,0.0612482355516463,0.837967169306159
"PWESmicro_11",2011,"micro-11",151,"Jun-11","1-LA4","0-10cm","LowN","Annual",4,6278,7.28552968442177,0.0723454364275569,0.840339791971324
"PWESmicro_12",2011,"micro-12",166,"Jun-11","1-HA4","0-10cm","HighN","Annual",4,5551,7.20258154568101,0.0785662193702552,0.844625997879266
"PWESmicro_13",2011,"micro-13",11,"Jun-11","1-OI1","0-10cm","Organic","IntWheatgrass",1,6736,7.29781617778534,0.0711685500300423,0.839279050712713
"PWESmicro_14",2011,"micro-14",26,"Jun-11","1-LI1","0-10cm","LowN","IntWheatgrass",1,6248,7.2631000844668,0.0719540123374265,0.839463504179373
"PWESmicro_15",2011,"micro-15",41,"Jun-11","1-HI1","0-10cm","HighN","IntWheatgrass",1,6264,7.24905732032545,0.068347277286421,0.835785954907913
"PWESmicro_16",2011,"micro-16",56,"Jun-11","1-OI2","0-10cm","Organic","IntWheatgrass",2,6473,7.2582159218864,0.0673516624478725,0.833893846665386
"PWESmicro_17",2011,"micro-17",71,"Jun-11","1-LI2","0-10cm","LowN","IntWheatgrass",2,6163,7.21263585545634,0.0688453494786287,0.833630887524203
"PWESmicro_18",2011,"micro-18",86,"Jun-11","1-HI2","0-10cm","HighN","IntWheatgrass",2,6697,7.30573735821621,0.0683842070035564,0.837129437646586
"PWESmicro_19",2011,"micro-19",101,"Jun-11","1-OI3","0-10cm","Organic","IntWheatgrass",3,6564,7.29696841120468,0.0709397046622155,0.83707796090531
"PWESmicro_20",2011,"micro-20",116,"Jun-11","1-LI3","0-10cm","LowN","IntWheatgrass",3,6294,7.28126634893304,0.0706898540716212,0.837714951607013
"PWESmicro_21",2011,"micro-21",131,"Jun-11","1-HI3","0-10cm","HighN","IntWheatgrass",3,6707,7.28656664210871,0.0705439630715938,0.835774879767535
"PWESmicro_22",2011,"micro-22",146,"Jun-11","1-OI4","0-10cm","Organic","IntWheatgrass",4,6056,7.13913501199372,0.0642037010842462,0.827281836304161
"PWESmicro_23",2011,"micro-23",161,"Jun-11","1-LI4","0-10cm","LowN","IntWheatgrass",4,6254,7.18822757982968,0.0563756308870911,0.829034549854038
"PWESmicro_24",2011,"micro-24",176,"Jun-11","1-HI4","0-10cm","HighN","IntWheatgrass",4,6197,7.27894422992304,0.0735355400012332,0.838934376269625
"PWESmicro_25",2012,"micro-25",1,"Jun-12","1-OA1","0-10cm","Organic","Annual",1,6793,7.31808508899738,0.0669483817270658,0.838016441728283
"PWESmicro_26",2012,"micro-26",16,"Jun-12","1-LA1","0-10cm","LowN","Annual",1,6270,7.14600587770846,0.0597123702752516,0.826684238773244
"PWESmicro_27",2012,"micro-27",31,"Jun-12","1-HA1","0-10cm","HighN","Annual",1,6228,7.30018513395469,0.0721512674632026,0.842364438342847
"PWESmicro_28",2012,"micro-28",46,"Jun-12","1-OA2","0-10cm","Organic","Annual",2,6906,7.34493607243618,0.0726500314289043,0.841122296260808
"PWESmicro_29",2012,"micro-29",61,"Jun-12","1-LA2","0-10cm","LowN","Annual",2,6373,7.32309759696709,0.0720623974768967,0.839134254391609
"PWESmicro_30",2012,"micro-30",76,"Jun-12","1-HA2","0-10cm","HighN","Annual",2,6873,7.29766520786954,0.0543502999048253,0.834544585441045
"PWESmicro_31",2012,"micro-31",91,"Jun-12","1-OA3","0-10cm","Organic","Annual",3,6734,7.33239851310413,0.0631810605118903,0.840356292640058
