Management,Plant,Block,Treatment,Fu,Pp,O,P,CR,FR,CR_CN,FR_CN,POXC,Min C
Organic,Annual,1,OrganicAnnualI,138.4322563,141.3776235,47.12587449,14.72683578,0.338235294,0.057352941,24.64876783,22.75861634,275.6,118.9265146
LowN,Annual,1,LowNAnnualI,214.4260547,277.1849,27.89282012,10.45980755,0.296924357,0.174661387,19.21305061,20.34934631,255,97.74418911
HighN,Annual,1,HighNAnnualI,102.056907,182.6281493,18.79995655,8.057124234,0.714285714,0.035714286,19.75429744,26.83565606,283.8,87.80410208
Organic,Annual,2,OrganicAnnualII,64.31350397,87.70023269,38.9778812,11.69336436,0.803167154,0.091523699,20.64479717,21.60481873,214.3,67.99164879
LowN,Annual,2,LowNAnnualII,84.1218871,143.4209223,6.895236647,1.379047329,0.243611755,0.052202519,23.54122234,23.02264825,222.9,68.12749624
HighN,Annual,2,HighNAnnualII,96.83325435,122.8481585,2.890544906,5.781089812,0.497454337,0.110545408,18.09756961,25.28095093,194,52.23748627
Organic,Annual,3,OrganicAnnualIII,76.19129171,62.51593166,11.72173719,5.860868593,0.314537758,0.039964797,25.08365357,25.17175909,275.4,70.8276714
LowN,Annual,3,LowNAnnualIII,55.80337586,87.4399354,3.515173282,2.636379962,0.770633747,0.21017284,20.48328962,17.57461469,192.6,49.85786106
HighN,Annual,3,HighNAnnualIII,58.4670548,84.45241249,4.640242444,2.784145467,0.133109465,0.595489714,23.03028231,18.90366837,169.1,35.93310015
Organic,Annual,4,OrganicAnnualIV,108.0103094,155.2080917,21.78359182,10.89179591,0.630308071,0.085176766,30.73574274,24.11562715,383.5,101.568127
LowN,Annual,4,LowNAnnualIV,84.20012383,199.1085281,21.79297323,5.943538153,0.382253625,0.156376483,20.57594636,27.4886277,349.6,57.47708174
HighN,Annual,4,HighNAnnualIV,76.43445503,83.83133778,3.698441373,0,0.239860158,0.171328684,25.58387075,22.99448301,339.6,43.32394694
Organic,IntWheatgrass,1,OrganicPerennialI,57.8895338,52.46239001,23.51762311,14.47238345,1.208712933,0.220691968,56.08231332,35.24108985,251,109.5592027
LowN,IntWheatgrass,1,LowNPerennialI,234.5326959,17.46520076,24.9502868,27.44531548,2.241852883,0.480397046,26.25693706,24.87495075,246.1,86.31937185
HighN,IntWheatgrass,1,HighNPerennialI,55.64367468,83.88076333,21.59306779,8.305026072,2.616451063,0.482466154,39.83379055,19.57696649,271.5,6.653231584
Organic,IntWheatgrass,2,OrganicPerennialII,101.2814233,101.2814233,33.11123455,11.68631808,2.014645931,0.228189488,63.17496323,30.90702108,262,95.64020402
LowN,IntWheatgrass,2,LowNPerennialII,18.19285036,47.11481761,24.25713382,16.79340034,1.093607992,0.317499095,41.74993202,26.05587229,253.4,61.48091124
HighN,IntWheatgrass,2,HighNPerennialII,85.1283068,131.5619287,25.15154519,9.673671227,2.665588087,0.259635203,29.34422952,19.65250735,231,63.0166501
Organic,IntWheatgrass,3,OrganicPerennialIII,126.6252091,140.131898,25.32504182,10.13001673,0.629043963,0.066215154,51.07785783,NA,222.3,18.48581453
LowN,IntWheatgrass,3,LowNPerennialIII,101.1082486,126.9231205,47.32726528,34.4198293,2.522455087,0.504491017,38.98207724,31.86789613,267,57.41977657
HighN,IntWheatgrass,3,HighNPerennialIII,53.48346836,56.00033746,10.0674764,26.42712554,3.822489631,0.504491017,33.85981435,25.99449251,227.9,56.64708778
Organic,IntWheatgrass,4,OrganicPerennialIV,147.5966605,43.48830175,6.589136629,7.906963955,1.401933579,0.292711407,46.18195576,34.50184642,371.5,86.69992408
LowN,IntWheatgrass,4,LowNPerennialIV,43.87242788,34.87295549,2.999824128,1.499912064,2.029719417,0.537788905,42.3399822,17.47501111,388.5,84.78226938
HighN,IntWheatgrass,4,HighNPerennialIV,67.74409013,130.3891627,21.8529323,18.93920799,3.702317753,0.81860292,39.91304861,20.51627748,395,70.61603493
