Depth,Management,Plant,Year,Block,Monhysteridae,Monhysteridae ?,Panagrolaimus,Rhabditidae,Rhabditis,Dauerlarvae,Mesorhabditis,Diploscapter,Diplogasteridae,Acrobeles,Acrobeloides,Chiloplacus,Cephalobidae,Metacrolobus,Plectus,AnaPlectus,Wilsonema,Prismatolaimus,Alaimus,Aphelenchus,Aphelenchoides,Aprutides,Tylenchidae,Diphterophora,Tylencholaimus,Tylencholaimellus,Gracilacus,Paratylenchus,Pratylenchus,Meloigogyne,Mesocriconema,Hopolaimus,Tylenchorhynchus,Helicotylenchus,Paratrichodorus,Xiphinema,Chromadoridae,Achromadora,Dorylaimidae,Qudsianematidae,Thornematidae,Aporcelaimidae,Mesodorylaimus,Tripyla,Tripylina,Mylonchulus,Mononchus,Clarkus,Mononchidae,Granonchulus,Anatonchus,Discolaimus
0-10cm,Organic,Annual,2011,I,5,0,1,0,0,12,0,0,0,0,37,0,1,0,0,0,0,0,1,22,0,0,72,1,3,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,1,5,0,0,0,0,0
0-10cm,Organic,Perennial,2011,I,3,0,0,0,0,0,0,0,0,0,56,0,7,0,6,0,0,0,1,7,4,0,68,5,2,0,0,0,26,0,0,0,0,0,0,2,0,2,20,0,0,3,0,0,0,2,5,0,0,0,0,0
0-10cm,LowN,Annual,2011,I,0,0,0,0,0,0,0,0,0,0,17,0,2,0,1,0,0,0,0,9,0,0,10,4,0,0,0,1,57,0,0,0,0,0,0,2,0,0,14,0,0,4,0,0,0,0,1,0,0,0,0,0
0-10cm,LowN,Perennial,2011,I,4,0,0,0,2,0,0,0,0,0,13,0,1,0,5,0,0,1,2,3,0,0,49,3,15,0,0,0,17,1,0,0,0,0,0,2,0,3,30,0,0,4,0,0,0,0,4,0,0,0,0,0
0-10cm,HighN,Annual,2011,I,4,0,1,0,2,0,0,0,0,0,27,0,1,0,4,0,0,1,1,19,0,0,79,4,0,0,0,0,28,0,0,0,0,0,0,1,0,0,16,2,0,9,0,0,0,0,0,0,0,0,0,0
0-10cm,HighN,Perennial,2011,I,7,0,4,0,1,1,0,0,0,0,139,0,0,0,3,0,0,1,2,8,3,0,45,0,0,0,0,0,16,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0-10cm,Organic,Annual,2011,II,5,0,5,0,3,15,0,0,0,15,28,0,7,1,0,0,0,10,3,5,10,0,22,0,2,0,0,4,70,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,2,0,0,0,0,0
0-10cm,Organic,Perennial,2011,II,13,0,5,0,0,4,0,0,0,8,14,0,3,0,0,0,0,15,2,2,0,0,31,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0-10cm,LowN,Annual,2011,II,14,0,8,0,14,4,0,0,0,1,14,0,3,0,0,0,0,0,3,7,5,0,43,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,1,0,0,0,0,0
0-10cm,LowN,Perennial,2011,II,17,0,1,0,0,4,0,0,0,0,84,0,2,0,0,0,0,1,3,11,3,0,36,0,1,0,1,20,14,0,0,0,0,0,0,16,0,0,19,0,0,5,0,0,0,0,0,0,0,0,0,0
0-10cm,HighN,Annual,2011,II,20,0,3,0,10,3,0,0,0,11,41,0,9,0,0,0,0,4,1,7,8,0,46,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0
0-10cm,HighN,Perennial,2011,II,30,0,9,0,1,0,0,0,0,10,101,0,4,0,2,0,0,1,4,14,5,0,30,1,1,0,0,6,8,0,0,0,0,0,0,2,0,4,49,0,0,0,0,1,0,3,0,4,0,0,0,0
0-10cm,Organic,Annual,2011,III,14,0,0,0,11,43,0,0,0,0,29,0,2,0,0,0,0,0,0,46,0,0,57,1,16,0,0,8,36,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,2,0,0,0,1
0-10cm,Organic,Perennial,2011,III,23,0,1,0,2,8,0,0,0,2,24,0,4,0,0,0,0,3,3,8,1,0,21,0,1,0,0,3,15,0,0,0,0,0,0,5,0,13,25,8,0,6,0,0,0,2,0,4,0,0,0,2
0-10cm,LowN,Annual,2011,III,6,0,0,0,24,1,0,0,0,1,70,0,1,0,0,0,0,1,2,14,6,0,82,5,0,0,0,1,2,0,0,0,0,0,0,2,0,3,5,0,0,4,0,0,0,2,0,2,0,0,0,0
0-10cm,LowN,Perennial,2011,III,40,0,0,0,0,5,0,0,0,0,42,0,4,0,8,0,0,10,1,17,3,0,66,0,1,0,0,0,15,0,0,0,0,0,0,0,0,8,7,1,0,10,0,0,0,1,0,7,0,0,0,0
0-10cm,HighN,Annual,2011,III,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-10cm,HighN,Perennial,2011,III,21,0,0,0,8,1,0,0,0,4,81,0,2,0,0,0,0,19,6,12,11,0,60,0,0,0,0,4,11,0,0,0,0,0,0,2,0,2,19,0,0,7,0,0,0,4,0,7,0,0,0,0
0-10cm,Organic,Annual,2012,I,11,0,2,0,20,12,0,0,0,0,38,0,1,0,1,0,0,2,1,8,2,0,40,18,26,0,0,24,0,0,0,0,0,0,0,1,0,4,12,5,0,3,0,0,0,5,17,0,0,0,0,0
0-10cm,Organic,Perennial,2012,I,3,0,0,0,1,16,0,0,0,0,39,0,3,0,16,0,0,1,0,1,3,0,46,8,35,0,0,4,0,0,0,0,0,0,0,0,0,3,11,1,0,5,0,0,0,9,2,0,0,0,0,0
0-10cm,LowN,Annual,2012,I,2,0,0,0,0,1,0,0,0,0,51,0,1,0,3,0,0,0,2,6,2,0,29,15,54,0,0,0,43,0,0,0,0,0,0,0,0,7,12,2,0,8,0,0,0,0,6,0,0,0,0,1
0-10cm,LowN,Perennial,2012,I,1,0,0,0,1,1,0,0,0,0,19,0,4,0,2,0,0,0,2,1,4,0,61,2,45,0,0,5,4,0,0,0,0,0,0,0,0,4,16,0,0,13,0,0,0,0,5,0,0,0,0,0
0-10cm,HighN,Annual,2012,I,1,0,0,0,0,1,0,0,0,0,40,0,0,0,7,0,0,0,2,10,5,0,45,13,1,0,0,0,19,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,8,2,0,0,0,0,0
0-10cm,HighN,Perennial,2012,I,10,0,1,0,3,1,0,0,0,0,33,0,0,0,4,0,0,0,4,2,6,0,52,15,38,0,0,0,15,0,0,0,0,0,0,1,0,18,17,0,0,1,0,0,0,3,5,0,0,0,0,0
0-10cm,Organic,Annual,2012,II,4,0,1,0,7,4,0,0,0,16,74,0,0,2,2,0,0,7,1,3,4,0,32,5,5,0,0,15,17,0,0,0,0,0,0,0,0,9,8,0,0,6,0,0,0,1,9,0,0,0,0,0
0-10cm,Organic,Perennial,2012,II,1,0,2,0,3,0,0,0,0,8,13,0,6,0,11,0,0,10,4,0,0,0,62,11,1,0,0,0,4,0,0,0,0,0,0,1,0,39,37,0,0,15,0,0,0,3,0,0,0,0,0,0
0-10cm,LowN,Annual,2012,II,1,0,1,0,0,1,0,0,0,0,22,0,1,0,3,0,0,1,6,7,9,0,67,5,2,0,0,14,15,0,0,0,0,0,0,0,0,21,4,0,0,2,0,0,0,0,2,0,0,0,0,0
0-10cm,LowN,Perennial,2012,II,0,0,2,0,6,5,0,0,0,0,53,0,3,0,10,0,0,1,3,1,2,0,41,0,3,0,0,4,42,0,0,0,0,0,0,0,0,11,14,0,0,3,0,0,0,2,8,0,0,0,0,0
0-10cm,HighN,Annual,2012,II,0,0,0,0,2,0,0,0,0,6,42,0,3,1,4,0,0,0,13,3,8,0,70,21,0,0,0,1,24,0,0,0,0,0,0,0,0,18,12,0,0,3,0,0,0,3,8,0,0,0,0,0
0-10cm,HighN,Perennial,2012,II,6,0,5,0,2,0,0,0,0,1,37,0,0,0,6,0,0,1,5,0,8,0,48,17,1,0,0,4,22,0,0,0,0,0,0,0,0,23,11,1,0,1,0,0,0,1,2,0,0,0,0,0
0-10cm,Organic,Annual,2012,III,1,0,0,0,2,4,0,0,0,6,22,0,3,0,2,1,0,3,1,8,2,0,46,8,10,0,0,2,54,0,0,0,0,0,0,0,0,29,6,1,0,0,0,0,0,2,3,0,0,0,0,0
0-10cm,Organic,Perennial,2012,III,0,0,1,0,0,7,0,0,0,1,25,0,4,0,9,0,0,0,3,2,1,0,63,14,0,0,0,1,14,0,0,0,0,0,0,2,0,28,12,1,0,1,0,0,0,0,6,0,0,0,0,0
0-10cm,LowN,Annual,2012,III,0,0,0,0,1,0,0,0,0,0,49,0,5,0,2,0,0,1,3,0,7,0,41,2,0,0,0,11,16,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,1,0,0,0,0,0
0-10cm,LowN,Perennial,2012,III,3,0,0,0,1,0,0,0,0,0,18,0,0,1,8,0,0,2,2,2,3,0,33,2,4,0,0,0,2,0,0,0,0,0,0,0,0,25,7,5,0,0,0,0,0,0,1,0,0,0,0,0
0-10cm,HighN,Annual,2012,III,4,0,1,0,3,0,0,0,0,0,90,0,2,4,0,0,0,9,5,2,15,0,56,0,0,0,0,0,30,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,10,0,0,0,0,0
0-10cm,HighN,Perennial,2012,III,3,0,0,3,0,0,0,0,0,0,50,0,0,0,21,0,0,14,3,4,6,0,56,0,3,0,1,12,0,0,0,0,0,0,0,0,0,62,13,0,0,0,0,0,0,0,2,0,0,0,0,0
0-10cm,Organic,Annual,2012,IV,6,0,1,0,2,26,0,0,0,0,44,0,0,0,1,0,0,1,4,4,1,0,49,17,1,0,0,2,22,0,0,0,0,0,0,0,0,1,6,1,0,3,0,0,0,0,4,0,0,0,0,0
0-10cm,Organic,Perennial,2012,IV,6,0,0,0,2,1,0,0,0,0,93,0,3,1,0,0,0,0,3,10,11,0,66,1,0,0,0,13,12,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0-10cm,LowN,Annual,2012,IV,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-10cm,LowN,Perennial,2012,IV,6,0,4,0,3,2,0,0,0,0,36,0,0,0,7,0,0,1,3,1,11,0,41,7,4,0,0,4,31,22,0,0,0,0,0,1,0,0,17,0,0,1,0,0,0,2,0,0,0,0,0,0
0-10cm,HighN,Annual,2012,IV,5,0,3,0,11,1,0,0,0,0,22,0,0,0,25,0,0,2,3,3,3,0,56,1,4,0,0,1,29,0,0,0,0,0,0,4,0,5,3,0,0,2,0,0,0,0,2,0,0,0,0,0
0-10cm,HighN,Perennial,2012,IV,10,0,4,0,0,2,0,0,0,0,11,0,0,0,18,0,0,5,4,0,3,0,0,8,0,0,0,4,82,0,0,0,0,0,0,3,0,19,38,0,0,5,0,0,0,2,6,0,0,0,0,2
0-10cm,Organic,Annual,2013,I,11,2,0,0,1,8,0,0,0,0,84,0,0,0,0,0,0,0,2,9,4,0,24,0,22,0,0,0,36,0,0,0,0,0,0,0,0,0,6,5,0,5,0,0,0,2,3,0,0,0,0,0
0-10cm,Organic,Perennial,2013,I,1,0,1,0,0,48,2,0,0,0,50,0,0,0,22,0,0,1,0,2,1,0,28,8,7,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,8,0,0,0,0,0
0-10cm,LowN,Annual,2013,I,1,0,2,0,0,0,0,0,0,0,67,0,0,0,2,0,0,0,0,10,4,0,77,5,4,0,0,0,41,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,3,0,0,0,0,0
0-10cm,LowN,Perennial,2013,I,12,2,0,0,0,0,0,0,0,0,88,0,0,0,5,0,0,1,0,2,44,0,0,2,46,0,0,2,5,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,11,0,0,0,0,0
0-10cm,HighN,Annual,2013,I,4,8,1,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,15,7,0,28,2,0,0,0,2,52,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,3,0,0,0,0,0
0-10cm,HighN,Perennial,2013,I,6,4,1,0,0,0,1,0,0,0,98,0,1,0,11,0,0,0,0,4,4,0,21,0,15,0,0,1,39,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,5,0,0,0,0,0
0-10cm,Organic,Annual,2013,II,0,1,0,0,0,9,1,0,0,13,15,0,0,1,0,0,0,0,0,12,3,0,36,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,6,0,0,0,0,0
0-10cm,Organic,Perennial,2013,II,26,5,0,0,5,53,0,0,0,9,43,0,0,0,13,0,0,0,3,1,0,0,100,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,3,0,1,0,0,5,0,0,0,0,0
0-10cm,LowN,Annual,2013,II,0,3,2,0,0,0,0,0,0,0,58,0,0,0,2,0,0,1,1,3,4,0,104,1,1,0,0,15,36,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
0-10cm,LowN,Perennial,2013,II,2,2,2,0,0,0,0,0,0,0,27,0,0,0,18,1,0,0,1,1,0,0,37,0,0,0,0,2,28,2,0,0,0,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,18,0,0,0
0-10cm,HighN,Annual,2013,II,0,6,0,0,0,0,0,0,0,3,51,0,0,0,0,0,0,0,1,6,8,0,106,0,0,0,0,6,24,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
0-10cm,HighN,Perennial,2013,II,6,1,2,0,0,0,0,0,0,1,60,0,0,0,9,0,0,1,1,5,5,0,56,6,0,0,0,0,40,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,4,0,0,0,0,0
0-10cm,Organic,Annual,2013,III,0,1,0,0,0,15,0,0,0,0,32,0,0,0,2,0,0,0,0,25,3,0,14,0,4,0,0,1,24,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,3,0,0,0,0,0
