Year,Micro_ID,Field ID,Date,Sample,Depth,Management,Plant,Block
2011,micro-1,1,Jun-11,1-OA1,0-10cm,Organic,Annual,1
2011,micro-2,16,Jun-11,1-LA1,0-10cm,LowN,Annual,1
2011,micro-3,31,Jun-11,1-HA1,0-10cm,HighN,Annual,1
2011,micro-4,46,Jun-11,1-OA2,0-10cm,Organic,Annual,2
2011,micro-5,61,Jun-11,1-LA2,0-10cm,LowN,Annual,2
2011,micro-6,76,Jun-11,1-HA2,0-10cm,HighN,Annual,2
2011,micro-7,91,Jun-11,1-OA3,0-10cm,Organic,Annual,3
2011,micro-8,106,Jun-11,1-LA3,0-10cm,LowN,Annual,3
2011,micro-9,121,Jun-11,1-HA3,0-10cm,HighN,Annual,3
2011,micro-10,136,Jun-11,1-OA4,0-10cm,Organic,Annual,4
2011,micro-11,151,Jun-11,1-LA4,0-10cm,LowN,Annual,4
2011,micro-12,166,Jun-11,1-HA4,0-10cm,HighN,Annual,4
2011,micro-13,11,Jun-11,1-OI1,0-10cm,Organic,IntWheatgrass,1
2011,micro-14,26,Jun-11,1-LI1,0-10cm,LowN,IntWheatgrass,1
2011,micro-15,41,Jun-11,1-HI1,0-10cm,HighN,IntWheatgrass,1
2011,micro-16,56,Jun-11,1-OI2,0-10cm,Organic,IntWheatgrass,2
2011,micro-17,71,Jun-11,1-LI2,0-10cm,LowN,IntWheatgrass,2
2011,micro-18,86,Jun-11,1-HI2,0-10cm,HighN,IntWheatgrass,2
2011,micro-19,101,Jun-11,1-OI3,0-10cm,Organic,IntWheatgrass,3
2011,micro-20,116,Jun-11,1-LI3,0-10cm,LowN,IntWheatgrass,3
2011,micro-21,131,Jun-11,1-HI3,0-10cm,HighN,IntWheatgrass,3
2011,micro-22,146,Jun-11,1-OI4,0-10cm,Organic,IntWheatgrass,4
2011,micro-23,161,Jun-11,1-LI4,0-10cm,LowN,IntWheatgrass,4
2011,micro-24,176,Jun-11,1-HI4,0-10cm,HighN,IntWheatgrass,4
2012,micro-25,1,Jun-12,1-OA1,0-10cm,Organic,Annual,1
2012,micro-26,16,Jun-12,1-LA1,0-10cm,LowN,Annual,1
2012,micro-27,31,Jun-12,1-HA1,0-10cm,HighN,Annual,1
2012,micro-28,46,Jun-12,1-OA2,0-10cm,Organic,Annual,2
2012,micro-29,61,Jun-12,1-LA2,0-10cm,LowN,Annual,2
2012,micro-30,76,Jun-12,1-HA2,0-10cm,HighN,Annual,2
2012,micro-31,91,Jun-12,1-OA3,0-10cm,Organic,Annual,3
2012,micro-32,106,Jun-12,1-LA3,0-10cm,LowN,Annual,3
2012,micro-33,121,Jun-12,1-HA3,0-10cm,HighN,Annual,3
2012,micro-34,136,Jun-12,1-OA4,0-10cm,Organic,Annual,4
2012,micro-35,151,Jun-12,1-LA4,0-10cm,LowN,Annual,4
2012,micro-36,166,Jun-12,1-HA4,0-10cm,HighN,Annual,4
2012,micro-37,11,Jun-12,1-OI1,0-10cm,Organic,IntWheatgrass,1
2012,micro-38,26,Jun-12,1-LI1,0-10cm,LowN,IntWheatgrass,1
2012,micro-39,41,Jun-12,1-HI1,0-10cm,HighN,IntWheatgrass,1
2012,micro-40,56,Jun-12,1-OI2,0-10cm,Organic,IntWheatgrass,2
2012,micro-41,71,Jun-12,1-LI2,0-10cm,LowN,IntWheatgrass,2
