Year,Micro_ID,Field ID,Date,Sample,Depth,Management,Plant,Block,NAG,BG,PHOS,PHENOX,PEROX,NETPEROX,TAP,Soil.Moisture,NH4,NO3,InorganicN,C Min,POXC
2011,micro-1,1,11-Jun,1-OA1,0-10cm,Organic,Annual,1,14.519,49.602,181,0,0.987,0.987,8.292,12.2,1.83,0.76,2.59,66.33,193.48
2011,micro-2,16,11-Jun,1-LA1,0-10cm,LowN,Annual,1,18.843,33.065,85.906,0,3.827,3.827,3.742,11.7,1.56,0.92,2.48,61.2,171
2011,micro-3,31,11-Jun,1-HA1,0-10cm,HighN,Annual,1,21.728,56.509,80.907,2.931,15.552,12.621,5.338,9.7,2.79,0.9,3.68,61.865,213.21
2011,micro-4,46,11-Jun,1-OA2,0-10cm,Organic,Annual,2,19.445,32.071,89.906,1.403,2.147,0.744,3.578,7.9,3.97,1.8,5.77,52.025,110.62
2011,micro-5,61,11-Jun,1-LA2,0-10cm,LowN,Annual,2,22.982,60.644,231.392,0,2.672,2.672,6.211,10.9,2.04,1.41,3.45,71.195,267.27
2011,micro-6,76,11-Jun,1-HA2,0-10cm,HighN,Annual,2,13.97,44.862,130.262,2.529,4.458,1.928,5.251,7.3,3.84,2.19,6.03,55.935,167.95
2011,micro-7,91,11-Jun,1-OA3,0-10cm,Organic,Annual,3,14.417,42.28,135.106,0.343,3.157,2.815,4.031,9.9,2.29,1.04,3.32,75.175,283.91
2011,micro-8,106,11-Jun,1-LA3,0-10cm,LowN,Annual,3,25.116,49.431,157.614,0.174,2.39,2.215,4.442,6,1.84,0.56,2.4,49.67,175.69
2011,micro-9,121,11-Jun,1-HA3,0-10cm,HighN,Annual,3,13.269,45.415,127.42,0,0,0,3.942,7,1.46,1.65,3.12,45.525,214.61
2011,micro-10,136,11-Jun,1-OA4,0-10cm,Organic,Annual,4,17.538,70.179,127.263,1.915,3.493,1.578,6.858,10.7,4.06,0.48,4.53,76.56,333.5
2011,micro-11,151,11-Jun,1-LA4,0-10cm,LowN,Annual,4,13.606,31.266,116.452,1.69,10.517,8.827,5.382,9.1,0.03,0.05,0.09,61.35,263.23
2011,micro-12,166,11-Jun,1-HA4,0-10cm,HighN,Annual,4,1.132,1.671,7.52,0,2.715,2.715,1.033,6.9,1.81,0.52,2.33,53.125,178.22
2011,micro-13,11,11-Jun,1-OI1,0-10cm,Organic,IntWheatgrass,1,18.048,27.429,48.182,0,3.812,3.812,3.813,10.8,4.3,0.81,5.11,80.075,265.15
2011,micro-14,26,11-Jun,1-LI1,0-10cm,LowN,IntWheatgrass,1,29.041,65.044,156.315,1.232,8.255,7.022,5.23,11.4,2.6,1.49,4.08,81.17,349.82
2011,micro-15,41,11-Jun,1-HI1,0-10cm,HighN,IntWheatgrass,1,20.994,65.072,190.934,0.554,6.587,6.033,4.848,8,1.95,0.9,2.85,62.51,208.31
2011,micro-16,56,11-Jun,1-OI2,0-10cm,Organic,IntWheatgrass,2,18.764,30.129,157.655,0,3.311,3.311,6.715,6.8,2.87,1.02,3.89,67.535,105.16
2011,micro-17,71,11-Jun,1-LI2,0-10cm,LowN,IntWheatgrass,2,17.886,47.756,252.466,0.898,2.262,1.364,5.051,8.3,2.72,1.84,4.55,70.355,226.38
2011,micro-18,86,11-Jun,1-HI2,0-10cm,HighN,IntWheatgrass,2,8.13,21.031,36.399,0,0.725,0.725,2.921,6.4,4.66,1.35,6.01,67.17,348.01
2011,micro-19,101,11-Jun,1-OI3,0-10cm,Organic,IntWheatgrass,3,16.128,44.552,129.792,2.152,3.727,1.574,4.041,8,2.98,0.78,3.76,65.175,233.66
2011,micro-20,116,11-Jun,1-LI3,0-10cm,LowN,IntWheatgrass,3,19.61,44.424,173.908,1.17,2.307,1.137,4.415,6.2,3.69,0.93,4.62,58.2,157.88
2011,micro-21,131,11-Jun,1-HI3,0-10cm,HighN,IntWheatgrass,3,10.217,22.921,79.406,9.836,26.147,16.311,2.966,8.5,1.54,1.09,2.63,65.645,220.47
2011,micro-22,146,11-Jun,1-OI4,0-10cm,Organic,IntWheatgrass,4,20.609,74.746,159.949,5.282,2.455,0,7.788,7.7,5.59,0.37,5.96,85.8,245.41
2011,micro-23,161,11-Jun,1-LI4,0-10cm,LowN,IntWheatgrass,4,15.021,66.586,54.235,7.379,12.127,4.749,5.841,7.1,2.01,0.63,2.64,63.87,321.64
2011,micro-24,176,11-Jun,1-HI4,0-10cm,HighN,IntWheatgrass,4,15.181,56.47,114.853,9.916,16.455,6.539,4.171,6.4,1.71,0.65,2.36,72.62,305.91
2012,micro-25,1,12-Jun,1-OA1,0-10cm,Organic,Annual,1,38.31,147.603,130.449,0,4.922,6.063,2.688,12.7,4.96,0.51,5.47,78.78670396,254.56
