Micro_ID,Field ID,Date,Sample,Depth,Management,Plant,Year,Block,Monhysteridae,Monhysteridae ?,Panagrolaimus,Rhabditidae,Rhabditis,Dauerlarvae,Mesorhabditis,Diploscapter,Diplogasteridae,Acrobeles,Acrobeloides,Chiloplacus,Cephalobidae,Metacrolobus,Plectus,AnaPlectus,Wilsonema,Prismatolaimus,Alaimus,Aphelenchus,Aphelenchoides,Aprutides,Tylenchidae,Diphterophora,Tylencholaimus,Tylencholaimellus,Gracilacus,Paratylenchus,Pratylenchus,Meloigogyne,Mesocriconema,Hopolaimus,Tylenchorhynchus,Helicotylenchus,Paratrichodorus,Xiphinema,Chromadoridae,Achromadora,Dorylaimidae,Qudsianematidae,Thornematidae,Aporcelaimidae,Mesodorylaimus,Tripyla,Tripylina,Mylonchulus,Mononchus,Clarkus,Mononchidae,Granonchulus,Anatonchus,Discolaimus
micro-1,1,11-Jun,1-OA1,0-10cm,Organic,Annual,2011,I,5,0,1,0,0,12,0,0,0,0,37,0,1,0,0,0,0,0,1,22,0,0,72,1,3,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,1,5,0,0,0,0,0
micro-2,16,11-Jun,1-LA1,0-10cm,LowN,Annual,2011,I,0,0,0,0,0,0,0,0,0,0,17,0,2,0,1,0,0,0,0,9,0,0,10,4,0,0,0,1,57,0,0,0,0,0,0,2,0,0,14,0,0,4,0,0,0,0,1,0,0,0,0,0
micro-3,31,11-Jun,1-HA1,0-10cm,HighN,Annual,2011,I,4,0,1,0,2,0,0,0,0,0,27,0,1,0,4,0,0,1,1,19,0,0,79,4,0,0,0,0,28,0,0,0,0,0,0,1,0,0,16,2,0,9,0,0,0,0,0,0,0,0,0,0
micro-4,46,11-Jun,1-OA2,0-10cm,Organic,Annual,2011,II,5,0,5,0,3,15,0,0,0,15,28,0,7,1,0,0,0,10,3,5,10,0,22,0,2,0,0,4,70,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,2,0,0,0,0,0
micro-5,61,11-Jun,1-LA2,0-10cm,LowN,Annual,2011,II,14,0,8,0,14,4,0,0,0,1,14,0,3,0,0,0,0,0,3,7,5,0,43,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,1,0,0,0,0,0
micro-6,76,11-Jun,1-HA2,0-10cm,HighN,Annual,2011,II,20,0,3,0,10,3,0,0,0,11,41,0,9,0,0,0,0,4,1,7,8,0,46,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0
micro-7,91,11-Jun,1-OA3,0-10cm,Organic,Annual,2011,III,14,0,0,0,11,43,0,0,0,0,29,0,2,0,0,0,0,0,0,46,0,0,57,1,16,0,0,8,36,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,2,0,0,0,1
micro-8,106,11-Jun,1-LA3,0-10cm,LowN,Annual,2011,III,6,0,0,0,24,1,0,0,0,1,70,0,1,0,0,0,0,1,2,14,6,0,82,5,0,0,0,1,2,0,0,0,0,0,0,2,0,3,5,0,0,4,0,0,0,2,0,2,0,0,0,0
micro-9,121,11-Jun,1-HA3,0-10cm,HighN,Annual,2011,III,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micro-10,136,11-Jun,1-OA4,0-10cm,Organic,Annual,2012,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
micro-11,151,11-Jun,1-LA4,0-10cm,LowN,Annual,2012,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
micro-12,166,11-Jun,1-HA4,0-10cm,HighN,Annual,2012,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
micro-13,11,11-Jun,1-OI1,0-10cm,Organic,Perennial,2011,I,3,0,0,0,0,0,0,0,0,0,56,0,7,0,6,0,0,0,1,7,4,0,68,5,2,0,0,0,26,0,0,0,0,0,0,2,0,2,20,0,0,3,0,0,0,2,5,0,0,0,0,0
micro-14,26,11-Jun,1-LI1,0-10cm,LowN,Perennial,2011,I,4,0,0,0,2,0,0,0,0,0,13,0,1,0,5,0,0,1,2,3,0,0,49,3,15,0,0,0,17,1,0,0,0,0,0,2,0,3,30,0,0,4,0,0,0,0,4,0,0,0,0,0
micro-15,41,11-Jun,1-HI1,0-10cm,HighN,Perennial,2011,I,7,0,4,0,1,1,0,0,0,0,139,0,0,0,3,0,0,1,2,8,3,0,45,0,0,0,0,0,16,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
micro-16,56,11-Jun,1-OI2,0-10cm,Organic,Perennial,2011,II,13,0,5,0,0,4,0,0,0,8,14,0,3,0,0,0,0,15,2,2,0,0,31,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
micro-17,71,11-Jun,1-LI2,0-10cm,LowN,Perennial,2011,II,17,0,1,0,0,4,0,0,0,0,84,0,2,0,0,0,0,1,3,11,3,0,36,0,1,0,1,20,14,0,0,0,0,0,0,16,0,0,19,0,0,5,0,0,0,0,0,0,0,0,0,0
micro-18,86,11-Jun,1-HI2,0-10cm,HighN,Perennial,2011,II,30,0,9,0,1,0,0,0,0,10,101,0,4,0,2,0,0,1,4,14,5,0,30,1,1,0,0,6,8,0,0,0,0,0,0,2,0,4,49,0,0,0,0,1,0,3,0,4,0,0,0,0
micro-19,101,11-Jun,1-OI3,0-10cm,Organic,Perennial,2011,III,23,0,1,0,2,8,0,0,0,2,24,0,4,0,0,0,0,3,3,8,1,0,21,0,1,0,0,3,15,0,0,0,0,0,0,5,0,13,25,8,0,6,0,0,0,2,0,4,0,0,0,2
micro-20,116,11-Jun,1-LI3,0-10cm,LowN,Perennial,2011,III,40,0,0,0,0,5,0,0,0,0,42,0,4,0,8,0,0,10,1,17,3,0,66,0,1,0,0,0,15,0,0,0,0,0,0,0,0,8,7,1,0,10,0,0,0,1,0,7,0,0,0,0
micro-21,131,11-Jun,1-HI3,0-10cm,HighN,Perennial,2011,III,21,0,0,0,8,1,0,0,0,4,81,0,2,0,0,0,0,19,6,12,11,0,60,0,0,0,0,4,11,0,0,0,0,0,0,2,0,2,19,0,0,7,0,0,0,4,0,7,0,0,0,0
micro-22,146,11-Jun,1-OI4,0-10cm,Organic,Perennial,2012,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
micro-23,161,11-Jun,1-LI4,0-10cm,LowN,Perennial,2012,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
micro-24,176,11-Jun,1-HI4,0-10cm,HighN,Perennial,2012,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
